scientificName,japaneseName,order,family
Trimma imaii,Murasakizukimbenihaze,Gobiiformes,Gobiidae
Mallotus villosus,Karafutoshishamo,Osmeriformes,Osmeridae
Navigobius kaguya,Kaguyahimehaze,Gobiiformes,Gobiidae
Hypomesus japonicus,Chika,Osmeriformes,Osmeridae
Amblyeleotris wheeleri,Kubiakahaze,Gobiiformes,Gobiidae
Osmerus dentex,Kyuriuo,Osmeriformes,Osmeridae
Nemateleotris lavandula,Shikonhatatatehaze,Gobiiformes,Gobiidae
Hypomesus olidus,Ishikariwakasagi,Osmeriformes,Osmeridae
Amblygobius phalaena,Sarasahaze,Gobiiformes,Gobiidae
Oxymetopon compressus,Tanzakuhaze,Gobiiformes,Gobiidae
Vanderhorstia macropteryx,Hirenagahaze,Gobiiformes,Gobiidae
Priolepis latifascima,Futosujiirezumihaze,Gobiiformes,Gobiidae
Lotilia klausewitzi,Odorihaze,Gobiiformes,Gobiidae
Trimma naudei,Chigobenihaze,Gobiiformes,Gobiidae
Eviota perspicilla,Hoderiisohaze,Gobiiformes,Gobiidae
Callogobius albipunctatus,Awayukifutasujihaze,Gobiiformes,Gobiidae
Eviota punctulata,Mitsubaisohaze,Gobiiformes,Gobiidae
Trimma flavatrum,Himeaogihaze,Gobiiformes,Gobiidae
Asterropteryx ovata,Ittenhoshihaze,Gobiiformes,Gobiidae
Valenciennea puellaris,Otomehaze,Gobiiformes,Gobiidae
Ancistrogobius dipus,Futahirehokagihaze,Gobiiformes,Gobiidae
Eviota saipanensis,Musujiisohaze,Gobiiformes,Gobiidae
